Unit,Chapter,Lesson,Description
Module 1,Introduction to Python,2024-08-19,What is Python and setting up the environment
Module 1,Introduction to Python (Lab),2024-08-22,Lab for Introduction to Python
Module 1,Printing and Comments,2024-08-25,How to print and use comments in Python
Module 1,Printing and Comments (Lab),2024-08-29,Lab for Printing and Comments
Module 1,Quiz 1,2024-09-01,Quiz covering topics 1 and 2
Module 1,Data Types and Variables,2024-09-04,"Understanding integers, floats, strings, and variables"
Module 1,Data Types and Variables (Lab),2024-09-08,Lab for Data Types and Variables
Module 1,Using Input,2024-09-11,Using input to interact with users,2024-09-11
Module 1,Using Input (Lab),2024-09-14,Lab for Using Input
Module 1,Quiz 2,2024-09-18,Quiz covering topics 3 and 4
Module 1,Test 1,2024-09-21,Test covering topics 1 through 4,2024-09-21
Module 1,Project 1,2024-09-24,Project based on topics covered in Test 1
Module 1,Simple Math in Python,2024-09-28,Performing basic mathematical operations
Module 1,Simple Math in Python (Lab),2024-10-01,Lab for Simple Math in Python
Module 2,Conditional Statements,2024-10-04,"Using if, elif, and else statements"
Module 2,Conditional Statements (Lab),2024-10-08,Lab for Conditional Statements
Module 2,Quiz 3,2024-10-11,Quiz covering topics 5 and 6
Module 2,Comparison Operators,2024-10-14,Understanding and using comparison operators
Module 2,Comparison Operators (Lab),2024-10-18,Lab for Comparison Operators
Module 2,Boolean Logic,2024-10-21,"Using `and`, `or`, and `not` for decision-making"
Module 2,Boolean Logic (Lab),2024-10-24,Lab for Boolean Logic
Module 2,Quiz 4,2024-10-28,Quiz covering topics 7 and 8
Module 2,Test 2,2024-10-31,Test covering topics 5 through 8
Module 2,Project 2,2024-11-03,Project based on topics covered in Test 2
Module 2,Loops (While),2024-12-03,Using while loops to repeat actions
Module 2,Loops (While) (Lab),2024-12-04,Lab for Loops (While)
Module 2,Loops (For),2024-12-05,Iterating over sequences with for loops
Module 2,Loops (For) (Lab),2024-12-06,Lab for Loops (For)
Module 2,Quiz 5,2024-12-09,Quiz covering topics 9 and 10
Module 3,Functions Basics,2024-11-23,How to define and call functions
Module 3,Functions Basics (Lab),2024-11-27,Lab for Functions Basics
Module 3,Function Parameters and Return,2024-11-30,Using arguments and return values in functions
Module 3,Function Parameters and Return (Lab),2024-12-03,Lab for Function Parameters and Return
Module 3,Quiz 6,2024-12-07,Quiz covering topics 11 and 12
Module 3,Test 3,2024-12-10,Test covering topics 9 through 12
Module 3,Project 3,2024-12-13,Project based on topics covered in Test 3
Module 3,Introduction to Lists,2024-12-17,Storing multiple items using lists
Module 3,Introduction to Lists (Lab),2024-12-20,Lab for Introduction to Lists
Module 3,Working with Lists,2024-12-23,"Adding, removing, and accessing elements in a list"
Module 3,Working with Lists (Lab),2024-08-22,Lab for Working with Lists,2024-12-27
Module 3,Quiz 7,2024-08-22,Quiz covering topics 13 and 14,2024-12-30
Module 3,Project 1: Simple Guessing Game,2024-08-23,Create a guessing game using learned concepts,2025-01-02
Module 3,Project 1: Simple Guessing Game (Lab),2024-08-23,Lab for Project 1: Simple Guessing Game,2025-01-06
Module 4,Introduction to Strings,2024-08-26,String manipulation basics,2025-01-09
Module 4,Introduction to Strings (Lab),2024-08-26,Lab for Introduction to Strings,2025-01-12
Module 4,Quiz 8,2024-08-26,Quiz covering topics 15 and 16,2025-01-16
Module 4,Test 4,2024-08-26,Test covering topics 13 through 16,2025-01-19
Module 4,Project 4,2024-08-26,Project based on topics covered in Test 4,2025-01-22
